Google Cloud Region,Location,Google CFE,Grid carbon intensity (gCO2eq / kWh)
asia-east1,Taiwan,0.17,456
asia-east2,Hong Kong,0.28,360
asia-northeast1,Tokyo,0.16,464
asia-northeast2,Osaka,0.31,384
asia-northeast3,Seoul,0.31,425
asia-south1,Mumbai,0.10,670
asia-south2,Delhi,0.08,671
asia-southeast1,Singapore,0.04,372
asia-southeast2,Jakarta,0.13,580
australia-southeast1,Sydney,0.21,598
australia-southeast2,Melbourne,0.31,521
europe-central2,Warsaw,0.20,576
europe-north1,Finland,0.91,127
europe-southwest1,Madrid,,121
europe-west1,Belgium,0.82,110
europe-west2,London,0.57,172
europe-west3,Frankfurt,0.60,269
europe-west4,Netherlands,0.53,283
europe-west6,Zurich,0.85,86
europe-west8,Milan,,298
europe-west9,Paris,,59
northamerica-northeast1,Montréal,1.00,0
northamerica-northeast2,Toronto,0.92,29
southamerica-east1,São Paulo,0.78,129
southamerica-west1,Santiago,0.69,190
us-central1,Iowa,0.97,394
us-east1,South Carolina,0.25,434
us-east4,Northern Virginia,0.64,309
us-east5,Columbus,0.64,309
us-south1,Dallas,0.40,296
us-west1,Oregon,0.88,60
us-west2,Los Angeles,0.53,190
us-west3,Salt Lake City,0.31,448
us-west4,Las Vegas,0.21,365

